@context,@type,entry_id,term,iast,category,frequency_target,nakshatra_alignment,nakshatra_planet,nakshatra_goddess,guna,healing_focus,suggested_raga,mantra_seed,meaning,resonance_quality,timestamp
https://schema.org,CreativeWork,SAN-0001,Chitsthiti,chitsthiti,Shringara,107.7,['Ashwini'],Ketu,Ashwini Kumaras,Sattva,Saṃvedana (intuition),Puriya Dhanashree,Oṁ chitsthitiye namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982273
https://schema.org,CreativeWork,SAN-0002,Adipada,adipada,Hasya,110.4,['Bharani'],Venus,Yama,Rajas,Mūla śodhana (root),Malkauns,Oṁ adipadaya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982323
https://schema.org,CreativeWork,SAN-0003,Vedagata,vedagata,Karuna,111.7,['Krittika'],Sun,Agni,Tamas,Mūla śodhana (root),Bhairav,Oṁ vedagataya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",High Frequency,2026-05-11T11:12:43.982342
https://schema.org,CreativeWork,SAN-0004,Adilaya,adilaya,Raudra,114.2,['Rohini'],Moon,Prajapati,Sattva,Paitṛka (ancestral),Shankara,Oṁ adilayaya namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982357
https://schema.org,CreativeWork,SAN-0005,Svatva,svatva,Vira,115.7,['Mrigashira'],Mars,Soma,Rajas,Śravaṇa (learning),Puriya Dhanashree,Oṁ svatvaya namaḥ,"heroism, courage, valor · active, passionate, dynamic · sacred vibration",High Frequency,2026-05-11T11:12:43.982372
https://schema.org,CreativeWork,SAN-0006,Chitsthiti,chitsthiti,Bhayanaka,117.7,['Ardra'],Rahu,Rudra,Tamas,Navīkaraṇa (renewal),Desh,Oṁ chitsthitiye namaḥ,"fear, terror, awe · stable, inert, grounded · sacred vibration",High Frequency,2026-05-11T11:12:43.982386
https://schema.org,CreativeWork,SAN-0007,Atmatva,atmatva,Bibhatsa,120.3,['Punarvasu'],Jupiter,Aditi,Sattva,Kauśala (creativity),Yaman,Oṁ atmatvaya namaḥ,"aversion, disgust, repulsion · pure, harmonious, balanced · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982399
https://schema.org,CreativeWork,SAN-0008,Pranalaya,pranalaya,Adbhuta,121.5,['Pushya'],Saturn,Brihaspati,Rajas,Dhana (wealth),Desh,Oṁ pranalayaya namaḥ,"wonder, amazement, curiosity · active, passionate, dynamic · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982412
https://schema.org,CreativeWork,SAN-0009,Pranakara,pranakara,Shanta,123.8,['Ashlesha'],Mercury,Sarpas,Tamas,Paitṛka (ancestral),Marwa,Oṁ pranakaraya namaḥ,"peace, tranquility, stillness · stable, inert, grounded · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982431
https://schema.org,CreativeWork,SAN-0010,Mahalaya,mahalaya,Shringara,126.2,['Magha'],Ketu,Pitrs,Sattva,Kauśala (creativity),Ahir Bhairav,Oṁ mahalayaya namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982444
https://schema.org,CreativeWork,SAN-0011,Brahmananda,brahmananda,Hasya,128.2,['Purva Phalguni'],Venus,Bhaga,Rajas,Saṃvedana (intuition),Khamaj,Oṁ brahmanandaya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982456
https://schema.org,CreativeWork,SAN-0012,Mahagata,mahagata,Karuna,129.9,['Uttara Phalguni'],Sun,Aryaman,Tamas,Vaivāhika (marriage),Kafi,Oṁ mahagataya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",High Frequency,2026-05-11T11:12:43.982470
https://schema.org,CreativeWork,SAN-0013,Paralaya,paralaya,Raudra,132.5,['Hasta'],Moon,Savitr,Sattva,Śodhana (purification),Desh,Oṁ paralayaya namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982482
https://schema.org,CreativeWork,SAN-0014,Pranarupa,pranarupa,Vira,134.1,['Chitra'],Mars,Vishwakarma,Rajas,Parivartana (transformation),Shankara,Oṁ pranarupaya namaḥ,"heroism, courage, valor · active, passionate, dynamic · sacred vibration",High Frequency,2026-05-11T11:12:43.982495
https://schema.org,CreativeWork,SAN-0015,Aditva,aditva,Bhayanaka,135.7,['Swati'],Rahu,Vayu,Tamas,Ārogya (healing),Marwa,Oṁ aditvaya namaḥ,"fear, terror, awe · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982507
https://schema.org,CreativeWork,SAN-0016,Svakara,svakara,Bibhatsa,138.3,['Vishakha'],Jupiter,Indra-Agni,Sattva,Dhana (wealth),Ahir Bhairav,Oṁ svakaraya namaḥ,"aversion, disgust, repulsion · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982520
https://schema.org,CreativeWork,SAN-0017,Paramaya,paramaya,Adbhuta,140.1,['Anuradha'],Saturn,Mitra,Rajas,Śravaṇa (learning),Yaman,Oṁ paramayaya namaḥ,"wonder, amazement, curiosity · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982533
https://schema.org,CreativeWork,SAN-0018,Mahananda,mahananda,Shanta,141.9,['Jyeshtha'],Mercury,Indra,Tamas,Ārogya (healing),Yaman,Oṁ mahanandaya namaḥ,"peace, tranquility, stillness · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982545
https://schema.org,CreativeWork,SAN-0019,Mahakara,mahakara,Shringara,144.1,['Mula'],Ketu,Nirriti,Sattva,Vaivāhika (marriage),Ahir Bhairav,Oṁ mahakaraya namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982560
https://schema.org,CreativeWork,SAN-0020,Parakara,parakara,Hasya,146.1,['Purva Ashadha'],Venus,Apas,Rajas,Śodhana (purification),Shankara,Oṁ parakaraya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",High Frequency,2026-05-11T11:12:43.982573
https://schema.org,CreativeWork,SAN-0021,Atmatva,atmatva,Karuna,147.8,['Uttara Ashadha'],Sun,Vishvedevas,Tamas,Śuddhi (purification),Hamsadhwani,Oṁ atmatvaya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",High Frequency,2026-05-11T11:12:43.982586
https://schema.org,CreativeWork,SAN-0022,Chitpada,chitpada,Raudra,150.2,['Shravana'],Moon,Vishnu,Sattva,Śravaṇa (learning),Malkauns,Oṁ chitpadaya namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982598
https://schema.org,CreativeWork,SAN-0023,Pranasara,pranasara,Vira,152.4,['Dhanishtha'],Mars,Vasus,Rajas,Śravaṇa (learning),Yaman,Oṁ pranasaraya namaḥ,"heroism, courage, valor · active, passionate, dynamic · sacred vibration",High Frequency,2026-05-11T11:12:43.982611
https://schema.org,CreativeWork,SAN-0024,Paratva,paratva,Bhayanaka,154.0,['Shatabhisha'],Rahu,Varuna,Tamas,Svātantrya (freedom),Brindavani Sarang,Oṁ paratvaya namaḥ,"fear, terror, awe · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982624
https://schema.org,CreativeWork,SAN-0025,Atmamaya,atmamaya,Bibhatsa,156.5,['Purva Bhadrapada'],Jupiter,Aja Ekapada,Sattva,Śuddhi (purification),Hamsadhwani,Oṁ atmamayaya namaḥ,"aversion, disgust, repulsion · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982636
https://schema.org,CreativeWork,SAN-0026,Brahmapada,brahmapada,Adbhuta,157.6,['Uttara Bhadrapada'],Saturn,Ahirbudhnya,Rajas,Paitṛka (ancestral),Puriya Dhanashree,Oṁ brahmapadaya namaḥ,"wonder, amazement, curiosity · active, passionate, dynamic · sacred vibration",High Frequency,2026-05-11T11:12:43.982649
https://schema.org,CreativeWork,SAN-0027,Svatva,svatva,Shanta,160.1,['Revati'],Mercury,Pushan,Tamas,Śuddhi (purification),Ahir Bhairav,Oṁ svatvaya namaḥ,"peace, tranquility, stillness · stable, inert, grounded · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982663
https://schema.org,CreativeWork,SAN-0028,Vedasara,vedasara,Shringara,107.6,['Ashwini'],Ketu,Ashwini Kumaras,Sattva,Dhana (wealth),Brindavani Sarang,Oṁ vedasaraya namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982678
https://schema.org,CreativeWork,SAN-0029,Anandananda,anandananda,Hasya,109.7,['Bharani'],Venus,Yama,Rajas,Paitṛka (ancestral),Bhoop,Oṁ anandanandaya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982695
https://schema.org,CreativeWork,SAN-0030,Chittva,chittva,Karuna,112.1,['Krittika'],Sun,Agni,Tamas,Śravaṇa (learning),Darbari,Oṁ chittvaya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982709
https://schema.org,CreativeWork,SAN-0031,Anandasthiti,anandasthiti,Raudra,113.5,['Rohini'],Moon,Prajapati,Sattva,Śilpa (art),Khamaj,Oṁ anandasthitiye namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982721
https://schema.org,CreativeWork,SAN-0032,Chitkara,chitkara,Vira,115.8,['Mrigashira'],Mars,Soma,Rajas,Pauṣṭi (nourishment),Malkauns,Oṁ chitkaraya namaḥ,"heroism, courage, valor · active, passionate, dynamic · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982734
https://schema.org,CreativeWork,SAN-0033,Chitmaya,chitmaya,Bhayanaka,117.5,['Ardra'],Rahu,Rudra,Tamas,Śilpa (art),Bhairav,Oṁ chitmayaya namaḥ,"fear, terror, awe · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982746
https://schema.org,CreativeWork,SAN-0034,Atmagata,atmagata,Bibhatsa,120.2,['Punarvasu'],Jupiter,Aditi,Sattva,Kuṇḍalinī (healing),Kafi,Oṁ atmagataya namaḥ,"aversion, disgust, repulsion · pure, harmonious, balanced · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982758
https://schema.org,CreativeWork,SAN-0035,Brahmatva,brahmatva,Adbhuta,121.9,['Pushya'],Saturn,Brihaspati,Rajas,Vaivāhika (marriage),Hamsadhwani,Oṁ brahmatvaya namaḥ,"wonder, amazement, curiosity · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982770
https://schema.org,CreativeWork,SAN-0036,Atmakara,atmakara,Shanta,124.0,['Ashlesha'],Mercury,Sarpas,Tamas,Ārogya (healing),Shankara,Oṁ atmakaraya namaḥ,"peace, tranquility, stillness · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982782
https://schema.org,CreativeWork,SAN-0037,Mahatva,mahatva,Shringara,126.2,['Magha'],Ketu,Pitrs,Sattva,Kuṇḍalinī (healing),Malkauns,Oṁ mahatvaya namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982794
https://schema.org,CreativeWork,SAN-0038,Mahapada,mahapada,Hasya,128.2,['Purva Phalguni'],Venus,Bhaga,Rajas,Nāyakatva (leadership),Hamsadhwani,Oṁ mahapadaya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982806
https://schema.org,CreativeWork,SAN-0039,Mahasara,mahasara,Karuna,129.8,['Uttara Phalguni'],Sun,Aryaman,Tamas,Śuddhi (purification),Todi,Oṁ mahasaraya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",High Frequency,2026-05-11T11:12:43.982822
https://schema.org,CreativeWork,SAN-0040,Anandarupa,anandarupa,Raudra,132.2,['Hasta'],Moon,Savitr,Sattva,Śravaṇa (learning),Rageshri,Oṁ anandarupaya namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982834
https://schema.org,CreativeWork,SAN-0041,Maharupa,maharupa,Vira,133.7,['Chitra'],Mars,Vishwakarma,Rajas,Mūla śodhana (root),Puriya Dhanashree,Oṁ maharupaya namaḥ,"heroism, courage, valor · active, passionate, dynamic · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982847
https://schema.org,CreativeWork,SAN-0042,Svamaya,svamaya,Bhayanaka,136.1,['Swati'],Rahu,Vayu,Tamas,Paitṛka (ancestral),Hamsadhwani,Oṁ svamayaya namaḥ,"fear, terror, awe · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982859
https://schema.org,CreativeWork,SAN-0043,Svasara,svasara,Bibhatsa,137.6,['Vishakha'],Jupiter,Indra-Agni,Sattva,Vijaya (victory),Rageshri,Oṁ svasaraya namaḥ,"aversion, disgust, repulsion · pure, harmonious, balanced · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982871
https://schema.org,CreativeWork,SAN-0044,Brahmamaya,brahmamaya,Adbhuta,140.2,['Anuradha'],Saturn,Mitra,Rajas,Svātantrya (freedom),Puriya Dhanashree,Oṁ brahmamayaya namaḥ,"wonder, amazement, curiosity · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982883
https://schema.org,CreativeWork,SAN-0045,Chitmaya,chitmaya,Shanta,141.5,['Jyeshtha'],Mercury,Indra,Tamas,Saṃvedana (intuition),Bageshree,Oṁ chitmayaya namaḥ,"peace, tranquility, stillness · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982895
https://schema.org,CreativeWork,SAN-0046,Mahapada,mahapada,Shringara,144.4,['Mula'],Ketu,Nirriti,Sattva,Pauṣṭi (nourishment),Ahir Bhairav,Oṁ mahapadaya namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.982906
https://schema.org,CreativeWork,SAN-0047,Chitpada,chitpada,Hasya,146.4,['Purva Ashadha'],Venus,Apas,Rajas,Śilpa (art),Ahir Bhairav,Oṁ chitpadaya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982919
https://schema.org,CreativeWork,SAN-0048,Chitnanda,chitnanda,Karuna,148.1,['Uttara Ashadha'],Sun,Vishvedevas,Tamas,Nāyakatva (leadership),Yaman,Oṁ chitnandaya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982931
https://schema.org,CreativeWork,SAN-0049,Anandamaya,anandamaya,Raudra,149.8,['Shravana'],Moon,Vishnu,Sattva,Kuṇḍalinī (healing),Malkauns,Oṁ anandamayaya namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982950
https://schema.org,CreativeWork,SAN-0050,Pranarupa,pranarupa,Vira,151.9,['Dhanishtha'],Mars,Vasus,Rajas,Vaivāhika (marriage),Brindavani Sarang,Oṁ pranarupaya namaḥ,"heroism, courage, valor · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982962
https://schema.org,CreativeWork,SAN-0051,Pranapada,pranapada,Bhayanaka,153.7,['Shatabhisha'],Rahu,Varuna,Tamas,Svātantrya (freedom),Desh,Oṁ pranapadaya namaḥ,"fear, terror, awe · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.982975
https://schema.org,CreativeWork,SAN-0052,Anandananda,anandananda,Bibhatsa,156.5,['Purva Bhadrapada'],Jupiter,Aja Ekapada,Sattva,Dhana (wealth),Darbari,Oṁ anandanandaya namaḥ,"aversion, disgust, repulsion · pure, harmonious, balanced · sacred vibration",Deep Frequency,2026-05-11T11:12:43.982990
https://schema.org,CreativeWork,SAN-0053,Adigata,adigata,Adbhuta,158.0,['Uttara Bhadrapada'],Saturn,Ahirbudhnya,Rajas,Śodhana (purification),Yaman,Oṁ adigataya namaḥ,"wonder, amazement, curiosity · active, passionate, dynamic · sacred vibration",Medium Frequency,2026-05-11T11:12:43.983003
https://schema.org,CreativeWork,SAN-0054,Svasara,svasara,Shanta,160.1,['Revati'],Mercury,Pushan,Tamas,Navīkaraṇa (renewal),Khamaj,Oṁ svasaraya namaḥ,"peace, tranquility, stillness · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.983016
https://schema.org,CreativeWork,SAN-0055,Brahmamaya,brahmamaya,Shringara,108.5,['Ashwini'],Ketu,Ashwini Kumaras,Sattva,Navīkaraṇa (renewal),Kafi,Oṁ brahmamayaya namaḥ,"love, beauty, devotion · pure, harmonious, balanced · sacred vibration",Medium Frequency,2026-05-11T11:12:43.983028
https://schema.org,CreativeWork,SAN-0056,Parakara,parakara,Hasya,109.8,['Bharani'],Venus,Yama,Rajas,Saṃvedana (intuition),Bhoop,Oṁ parakaraya namaḥ,"laughter, joy, mirth · active, passionate, dynamic · sacred vibration",Deep Frequency,2026-05-11T11:12:43.983040
https://schema.org,CreativeWork,SAN-0057,Paragata,paragata,Karuna,111.6,['Krittika'],Sun,Agni,Tamas,Śravaṇa (learning),Khamaj,Oṁ paragataya namaḥ,"compassion, mercy, empathy · stable, inert, grounded · sacred vibration",Medium Frequency,2026-05-11T11:12:43.983052
https://schema.org,CreativeWork,SAN-0058,Aditva,aditva,Raudra,114.2,['Rohini'],Moon,Prajapati,Sattva,Navīkaraṇa (renewal),Hamsadhwani,Oṁ aditvaya namaḥ,"fury, anger, intensity · pure, harmonious, balanced · sacred vibration",High Frequency,2026-05-11T11:12:43.983067
